Company,Product,TypeName,CPU_Company,CPU_Frequency,RAM,Memory,GPU_Company,Weight,Price,Touchscreen,Ips,ppi,os
Apple,300,Ultrabook,Intel,2.3,8,4,Intel,1.37,1339.69,0,1,272.209527795122,Mac
Apple,301,Ultrabook,Intel,1.8,8,2,Intel,1.34,898.94,0,0,153.11785938475614,Mac
HP,50,Notebook,Intel,2.5,8,16,Intel,1.86,575.0,0,0,174.05705383053478,Others/No OS/Linux
Apple,300,Ultrabook,Intel,2.7,16,29,AMD,1.83,2537.45,0,1,264.4763025736697,Mac
Apple,300,Ultrabook,Intel,3.1,8,16,Intel,1.37,1803.6,0,1,272.209527795122,Mac
Acer,58,Notebook,AMD,3.0,4,26,AMD,2.1,400.0,0,0,123.83434142318255,Windows
Apple,300,Ultrabook,Intel,2.2,16,15,Intel,2.04,2139.97,0,1,264.4763025736697,Mac
Apple,301,Ultrabook,Intel,1.8,8,15,Intel,1.34,1158.7,0,0,153.11785938475614,Mac
Asus,608,Ultrabook,Intel,1.8,16,29,Nvidia,1.3,1495.0,0,0,193.94928855402446,Windows
Acer,430,Ultrabook,Intel,1.6,8,16,Intel,1.6,770.0,0,1,193.94928855402446,Windows
HP,50,Notebook,Intel,2.5,4,26,Intel,1.86,393.9,0,0,123.83434142318255,Others/No OS/Linux
HP,50,Notebook,Intel,2.0,4,26,Intel,1.86,344.99,0,0,174.05705383053478,Others/No OS/Linux
Apple,300,Ultrabook,Intel,2.8,16,16,AMD,1.83,2439.97,0,1,264.4763025736697,Mac
Dell,239,Notebook,Intel,2.0,4,16,AMD,2.2,498.9,0,0,174.05705383053478,Windows
Apple,298,Ultrabook,Intel,1.2,8,16,Intel,0.92,1262.4,0,1,271.5290039756342,Mac
Apple,300,Ultrabook,Intel,2.3,8,16,Intel,1.37,1518.55,0,1,272.209527795122,Mac
Dell,239,Notebook,Intel,2.7,8,16,AMD,2.2,745.0,0,0,174.05705383053478,Windows
Apple,300,Ultrabook,Intel,2.9,16,29,AMD,1.83,2858.0,0,1,264.4763025736697,Mac
Lenovo,209,Notebook,Intel,2.4,8,10,Nvidia,2.2,499.0,0,0,174.05705383053478,Others/No OS/Linux
Dell,576,Ultrabook,Intel,1.6,8,4,Intel,1.22,979.0,1,1,204.15714584634154,Windows
Asus,543,Netbook,Intel,1.44,2,23,Intel,0.98,191.9,0,0,166.53583846565928,Windows
Lenovo,291,Gaming,Intel,2.5,8,5,Nvidia,2.5,999.0,0,1,174.05705383053478,Windows
HP,51,Notebook,AMD,1.5,4,26,AMD,1.86,258.0,0,0,123.83434142318255,Others/No OS/Linux
Dell,244,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.62,819.0,1,0,204.15714584634154,Windows
HP,8,Ultrabook,Intel,1.8,8,16,Intel,1.91,659.0,0,0,174.05705383053478,Windows
Dell,239,Notebook,Intel,2.0,4,10,Intel,2.3,418.64,0,0,123.83434142318255,Windows
Apple,299,Ultrabook,Intel,1.6,8,2,Intel,1.35,1099.0,0,0,153.11785938475614,Mac
Dell,247,Notebook,Intel,1.6,8,16,AMD,2.2,800.0,0,0,174.05705383053478,Windows
Dell,282,Ultrabook,Intel,1.9,8,19,Intel,1.88,1298.0,0,0,174.05705383053478,Windows
HP,364,Notebook,Intel,1.6,8,10,Nvidia,2.5,896.0,0,0,156.9531814888059,Windows
Chuwi,270,Notebook,Intel,1.44,4,35,Intel,1.89,244.99,0,0,174.05705383053478,Windows
Asus,104,Notebook,AMD,1.5,2,23,AMD,1.65,199.0,0,0,137.98683758583198,Windows
HP,44,Notebook,AMD,2.5,4,26,AMD,2.71,439.0,0,0,156.9531814888059,Windows
Dell,576,Ultrabook,Intel,1.8,16,29,Intel,1.2,1869.0,1,0,340.26190974390255,Windows
Apple,299,Ultrabook,Intel,1.6,8,15,Intel,1.35,998.0,0,0,153.11785938475614,Mac
Lenovo,200,Notebook,Intel,1.1,4,35,Intel,1.44,249.0,0,0,137.98683758583198,Windows
Acer,58,Notebook,Intel,2.7,4,10,Intel,2.1,367.0,0,0,123.83434142318255,Others/No OS/Linux
Dell,252,Notebook,Intel,1.6,8,5,AMD,2.8,979.0,0,1,156.9531814888059,Windows
HP,50,Notebook,Intel,2.5,4,10,Intel,1.86,488.69,0,0,123.83434142318255,Windows
HP,363,Notebook,Intel,1.6,8,16,Nvidia,2.1,879.0,0,0,174.05705383053478,Windows
Asus,554,Notebook,Intel,2.0,4,10,Intel,2.0,389.0,0,0,174.05705383053478,Others/No OS/Linux
Dell,258,Gaming,Intel,2.8,16,18,Nvidia,2.65,1499.0,0,1,174.05705383053478,Windows
Asus,565,Notebook,Intel,2.5,8,10,Nvidia,2.3,522.99,0,0,123.83434142318255,Others/No OS/Linux
Acer,63,Notebook,Intel,1.6,4,16,Intel,2.2,682.0,0,1,174.05705383053478,Windows
Dell,260,2 in 1 Convertible,Intel,1.6,12,10,Nvidia,2.77,999.0,1,0,156.9531814888059,Windows
Apple,300,Ultrabook,Intel,2.0,8,16,Intel,1.37,1419.0,0,1,272.209527795122,Mac
Lenovo,211,Notebook,Intel,2.0,4,4,Intel,2.2,369.0,0,0,123.83434142318255,Others/No OS/Linux
Asus,408,Gaming,AMD,3.0,8,18,AMD,3.2,1299.0,0,0,156.9531814888059,Windows
Dell,239,Notebook,Intel,2.5,4,16,AMD,2.3,639.0,0,0,174.05705383053478,Windows
Asus,574,Notebook,Intel,1.1,4,10,Nvidia,2.8,466.0,0,0,111.66564891339004,Windows
Lenovo,592,2 in 1 Convertible,Intel,1.44,4,35,Intel,0.69,319.0,1,1,268.8405979956775,Others/No OS/Linux
Acer,63,Notebook,Intel,1.8,8,16,Nvidia,2.2,841.0,0,1,174.05705383053478,Windows
HP,51,Notebook,AMD,2.5,4,16,AMD,1.86,398.49,0,0,174.05705383053478,Windows
HP,361,Notebook,Intel,1.8,8,29,Intel,1.49,1103.0,0,0,204.15714584634154,Windows
Acer,58,Notebook,Intel,2.4,4,10,Intel,2.4,384.0,0,0,123.83434142318255,Windows
Dell,240,Notebook,Intel,1.8,8,16,AMD,2.13,767.8,0,0,174.05705383053478,Windows
HP,16,Notebook,Intel,2.0,4,4,Intel,1.91,439.0,0,0,174.05705383053478,Windows
Asus,538,Notebook,Intel,2.5,4,16,Intel,2.0,586.19,0,0,123.83434142318255,Windows
